Date,Open,High,Low,Close,Adj Close,Volume
3/8/1999,51.125,51.734375,49.65625,50.0625,43.419037,23664200
3/15/1999,50.4375,53.25,49.90625,51.21875,44.421841,27248600
3/22/1999,51.4375,52.46875,48.5,51.75,44.882591,40824200
3/29/1999,52.375,54.1875,52.0625,53.5625,46.454571,27026800
4/5/1999,54.429688,56.25,53.8125,55.8125,48.405972,38042400
4/12/1999,54.5,55.90625,51.125,51.96875,45.072311,77074600
4/19/1999,52.3125,55.71875,48.84375,55.3125,47.972336,68509600
4/26/1999,55.6875,57.28125,51.8125,53.71875,46.59008,64024000
5/3/1999,53.5625,54.375,51.03125,52.96875,45.939598,70784600
5/10/1999,53.3125,56,52.6875,53.40625,46.319069,53981800
5/17/1999,52.9375,54.992188,52.414063,52.875,45.858326,44116000
5/24/1999,52.96875,53.0625,48.9375,52.03125,45.126522,90417600
5/31/1999,51.9375,52.742188,49.570313,52.5625,45.587276,43091800
6/7/1999,52.929688,54.03125,51.3125,51.78125,44.909695,53971000
6/14/1999,51.96875,55.21875,50.6875,55.0625,47.755508,60015800
6/21/1999,55.4375,57.09375,54.1875,54.6875,47.430286,54659400
6/28/1999,55.15625,59.9375,54.703125,58.75,50.953663,46258800
7/5/1999,59.0625,59.90625,57.9375,59.84375,51.902275,34746600
7/12/1999,60.0625,61.71875,58.78125,61.375,53.230316,32409200
7/19/1999,61.625,61.625,56.6875,57.28125,49.679813,59914200
7/26/1999,56.5,58.4375,55.78125,56.59375,49.083557,58595800
8/2/1999,56.6875,57.8125,53.75,55.328125,47.985893,66962400
8/9/1999,55.53125,57.71875,52.9375,57.65625,50.005062,64909600
8/16/1999,57.625,58.84375,56.695313,57.96875,50.276093,46992800
8/23/1999,58.5,61.75,58.367188,59.875,51.929367,54283800
8/30/1999,60.125,62.679688,58.125,62.65625,54.341534,64262600
9/6/1999,62.53125,63.742188,61.03125,63.125,54.748093,46241000
9/13/1999,63.0625,63.492188,60.195313,63.3125,54.910702,63236800
9/20/1999,63.5,63.75,58.625,60.078125,52.105556,74231600
9/27/1999,60.9375,61.375,58.75,60.210938,52.220726,85999400
10/4/1999,60.53125,63.9375,60.1875,63.757813,55.296928,95595600
10/11/1999,63.9375,64.953125,59.507813,59.875,51.929367,111602800
10/18/1999,59.9375,63.25,57.414063,61.96875,53.745274,112902600
10/25/1999,61.6875,66.25,60.445313,65.75,57.024738,75726800
11/1/1999,65.75,69.21875,65.195313,68.1875,59.138783,76452400
11/8/1999,68.4375,72.25,68.21875,72.1875,62.607967,89229600
11/15/1999,72.25,75.90625,71.6875,75.78125,65.724762,87397200
11/22/1999,75.9375,78.78125,74.25,77.6875,67.378067,69552400
11/29/1999,77.53125,80.1875,73.5,79.125,68.624809,106067200
12/6/1999,79.429688,80.5,77.25,79.90625,69.302437,107852200
12/13/1999,79.632813,84.875,77.9375,83.78125,72.6632,126878600
12/20/1999,84.40625,90.75,83.6875,90.21875,78.246384,81253000
12/27/1999,90.3125,93.75,87.90625,91.375,79.249222,87492200
1/3/2000,96.1875,96.1875,79.75,90,78.056694,177901400
1/10/2000,91,93.9375,86,93.375,80.983818,138336000
1/17/2000,92.0625,96.875,91.4375,96.25,83.477295,80414600
1/24/2000,97.4375,97.625,84.75,86,74.587479,150765200
1/31/2000,85.875,98.242188,83.5,97.15625,84.263275,145821200
2/7/2000,97.25,102.875,96.25,99.875,86.621216,118236200
2/14/2000,99.992188,103.25,95.875,98.4375,85.374519,134049400
2/21/2000,99,107.5,96.25,104.0625,90.253044,150882800
2/28/2000,103.25,111.125,100.5,111.0625,96.324089,151419600
3/6/2000,111.75,116.4375,106.28125,114.5,99.30545,166104000
3/13/2000,110,114.125,101,110.8125,96.107285,214558200
3/20/2000,111,120.5,103.5625,117.5625,101.961533,120262900
3/27/2000,118,119.5,103.5,109.5,94.968933,130957000
4/3/2000,107.765625,109.125,88.3125,106.625,92.475464,186541200
4/10/2000,107.625,107.6875,78,80.375,69.708969,203491500
4/17/2000,78.015625,93.625,78,87.25,75.671608,140997500
4/24/2000,83.4375,94.75,79.875,94.75,82.176315,147381200
5/1/2000,95.75,96.875,85.515625,91.4375,79.303398,108425200
5/8/2000,90.5,90.75,79.5,84.625,73.394958,111118000
5/15/2000,84.8125,91.5,81.3125,81.6875,70.847267,109290100
5/22/2000,81.625,82.625,72.25,77.75,67.432312,173090200
5/29/2000,80,93.9375,80,93.625,81.200615,121936500
6/5/2000,92.25,95.3125,89.5625,93.75,81.309029,105837600
6/12/2000,94.3125,95.3125,89.359375,94.25,81.742683,101958300
6/19/2000,94.015625,99.71875,91.375,91.5,79.35762,108326200
6/26/2000,93.0625,95.5,90.625,93.4375,81.037994,92723900
7/3/2000,93.5,97,90.0625,95.9375,83.206253,61898900
7/10/2000,94.6875,101.125,92.8125,100.625,87.271713,82072700
7/17/2000,100.9375,102.0625,95.65625,97,84.127762,89585600
7/24/2000,97.9375,99,86,86.875,75.346352,120591000
7/31/2000,87.625,92.765625,83.3125,90.125,78.165108,125098000
8/7/2000,90.875,94.4375,87.875,91.0625,78.97818,84972200
8/14/2000,91.375,96.625,90.203125,95.25,82.609978,71074000
8/21/2000,96,99.953125,93.828125,98.03125,85.022133,75167100
8/28/2000,98.25,103.515625,97.765625,102.625,89.006294,63682900
9/4/2000,101.625,101.75,94.765625,95.125,82.501595,77458100
9/11/2000,94.5,96.125,90,91.3125,79.195023,139221100
9/18/2000,91.8125,95.234375,87,92.9375,80.604332,148651900
9/25/2000,93.625,94.25,88,88.75,76.97258,131303700
